filename,file_uri,file_url,file_type,programming_language,description,access_level,assigned_agents,file_size,tags,is_active,id,created_date,updated_date,created_by_id,created_by,is_sample
"hardware_key_management.py","","","code","Python","Defines conceptual interfaces and principles for managing cryptographic keys bound to hardware security modules (TPM/HSM), enhancing the swarm's root of trust and key security.","swarm_internal","[]","","[""hardware_security"",""TPM"",""HSM"",""key_management"",""root_of_trust"",""cryptography""]","true","69492527aa7e668176b838a2","2025-12-22T11:01:59.642000","2025-12-22T11:01:59.642000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"memory_integrity_verification.py","","","code","Python","Provides functions for verifying the integrity of the swarm memory, including detecting rollback attacks and ensuring hash-chain continuity.","swarm_internal","[]","","[""memory_integrity"",""verification"",""security"",""rollback_detection"",""tamper_detection""]","true","694924fb0ff7c8f72b846206","2025-12-22T11:01:15.038000","2025-12-22T11:01:15.038000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"memory_vault_hardened.py","","","code","Python","Implements the hardened SwarmMemoryVault, incorporating cross-agent consensus for writes, memory confidence scoring, golden snapshot management, and robust integrity checks against tampering and rollback.","swarm_internal","[]","","[""memory_vault"",""zero_trust"",""security"",""consensus"",""confidence_scoring"",""snapshot"",""audit_log"",""swarm_core""]","true","694924f90ff7c8f72b846204","2025-12-22T11:01:13.590000","2025-12-22T11:01:13.590000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"snapshot.py","","","code","Python","Defines the GoldenSnapshot class for creating read-only, rollback-proof snapshots of swarm memory, anchoring historical truth.","swarm_internal","[]","","[""snapshot"",""memory"",""rollback_protection"",""audit"",""security""]","true","694924f70ff7c8f72b846200","2025-12-22T11:01:11.819000","2025-12-22T11:01:11.819000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"confidence_engine.py","","","code","Python","Contains the confidence_engine, which computes a confidence score for memory records based on agent activity, penalizing dominance to prevent poisoning.","swarm_internal","[]","","[""confidence_scoring"",""anti_poisoning"",""memory_integrity"",""security""]","true","694924f60ff7c8f72b8461ff","2025-12-22T11:01:10.215000","2025-12-22T11:01:10.215000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"memory_record_extended.py","","","code","Python","Defines the extended MemoryRecord class for immutable, hash-chained memory entries, now including a confidence score to mitigate memory poisoning.","swarm_internal","[]","","[""memory"",""immutable"",""hash_chaining"",""confidence_scoring"",""anti_poisoning"",""security""]","true","694924f40ff7c8f72b8461fe","2025-12-22T11:01:08.460000","2025-12-22T11:01:08.460000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"consensus_write.py","","","code","Python","Defines the ConsensusProposal class and related functions for enabling cross-agent consensus-based memory writes, requiring multiple agent approvals.","swarm_internal","[]","","[""consensus"",""memory_write"",""security"",""multi_agent""]","true","694924f20ff7c8f72b8461fd","2025-12-22T11:01:06.853000","2025-12-22T11:01:06.853000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"encryption_utils.py","","","code","Python","Provides utilities for encrypting and decrypting memory record payloads using Fernet, enhancing data confidentiality at rest.","swarm_internal","[]","","[""encryption"",""security"",""data_confidentiality""]","true","694924ae31152787a7d78474","2025-12-22T10:59:58.557000","2025-12-22T10:59:58.557000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"anomaly_detection.py","","","code","Python","Contains functions for detecting anomalous patterns in memory records, such as potential poisoning attacks, enabling self-healing and quarantine mechanisms.","swarm_internal","[]","","[""anomaly_detection"",""security"",""memory"",""threat_detection""]","true","694924ac31152787a7d78471","2025-12-22T10:59:56.951000","2025-12-22T10:59:56.951000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"memory_vault.py","","","code","Python","Implements the SwarmMemoryVault, a zero-trust core for swarm memory management with append-only logging, signature verification, capability-based access control, and tamper detection.","swarm_internal","[]","","[""memory_vault"",""zero_trust"",""security"",""access_control"",""audit_log"",""swarm_core""]","true","694924ab31152787a7d7846e","2025-12-22T10:59:55.471000","2025-12-22T10:59:55.471000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"signed_write.py","","","code","Python","Provides functionality for cryptographically signing data payloads using an agent's private key, ensuring authenticity and integrity of memory write requests.","swarm_internal","[]","","[""cryptography"",""signing"",""security"",""memory_write""]","true","694924a931152787a7d7846c","2025-12-22T10:59:53.786000","2025-12-22T10:59:53.786000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"memory_record.py","","","code","Python","Defines the MemoryRecord class for immutable, hash-chained memory entries, ensuring cryptographic integrity and auditability.","swarm_internal","[]","","[""memory"",""immutable"",""hash_chaining"",""auditing"",""security""]","true","694924a831152787a7d7846b","2025-12-22T10:59:52.208000","2025-12-22T10:59:52.208000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"crypto_identity.py","","","code","Python","Provides cryptographic primitives for agent identity, including Ed25519 keypair generation and public key binding.","swarm_internal","[]","","[""cryptography"",""identity"",""security"",""agent_id""]","true","694924a631152787a7d7846a","2025-12-22T10:59:50.097000","2025-12-22T10:59:50.097000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"performance_monitor_promoter.py","","","code","Python","Python module containing the PerformanceMonitorPromoter class, designed to evaluate agent performance, determine promotion criteria, and propose/apply promotions based on predefined metrics like success rate.","swarm_internal","[]","","[""performance_monitoring"",""agent_promotion"",""governance"",""analytics""]","true","6949241a9561e25080a68e54","2025-12-22T10:57:30.133000","2025-12-22T10:57:30.133000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"agent_upgrade_interface.py","","","code","Python","Defines the interface for agents to propose capability upgrades, adhering to the Capability Upgrade Protocol.","swarm_internal","[]","","[""agent"",""interface"",""upgrade"",""protocol""]","true","694923f21b74d6e708fb3274","2025-12-22T10:56:50.878000","2025-12-22T10:56:50.879000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"swarm_upgrade_controller.py","","","code","Python","Implements the SwarmUpgradeController, the authoritative component responsible for validating and deploying capability upgrades across the swarm.","swarm_internal","[]","","[""controller"",""upgrade"",""governance"",""security"",""deployment""]","true","694923f11b74d6e708fb326f","2025-12-22T10:56:49.490000","2025-12-22T10:56:49.490000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"capability_manifest.py","","","code","Python","Defines the SWARM_CAPABILITY_REGISTRY, acting as the single source of truth for all agent capabilities and their associated risks and requirements.","swarm_internal","[]","","[""manifest"",""capabilities"",""governance"",""security""]","true","694923f01b74d6e708fb326e","2025-12-22T10:56:48.117000","2025-12-22T10:56:48.117000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"capability_upgrade_protocol.py","","","code","Python","Defines the Capability Upgrade Protocol (CUP) for swarm agents, including the CapabilityUpgrade dataclass and UpgradeStatus enum.","swarm_internal","[]","","[""protocol"",""governance"",""upgrade"",""capability""]","true","694923ee1b74d6e708fb326d","2025-12-22T10:56:46.695000","2025-12-22T10:56:46.695000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"enhanced_swarm_agent.py","swarmos://code/enhanced_swarm_agent.py","","code","Python","Python module containing the EnhancedAgent class, which integrates document parsing, semantic chunking, and web fetching capabilities to provide a comprehensive content ingestion and reasoning system for swarm agents.","swarm_internal","[]","","[""agent_framework"",""ingestion"",""reasoning"",""knowledge_base"",""multi_format""]","true","6949231a73f34aec0d37770d","2025-12-22T10:53:14.963000","2025-12-22T10:53:14.963000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"enhanced_web_fetcher.py","swarmos://code/enhanced_web_fetcher.py","","code","Python","Python module containing the EnhancedWebFetcher class for advanced web content fetching with caching and retry logic.","swarm_internal","[]","","[""web_fetching"",""caching"",""http_requests"",""concurrency""]","true","6949231973f34aec0d37770c","2025-12-22T10:53:13.112000","2025-12-22T10:53:13.112000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"semantic_chunker.py","swarmos://code/semantic_chunker.py","","code","Python","Python module containing the SemanticChunker class for advanced text chunking with semantic boundaries.","swarm_internal","[]","","[""chunking"",""text_processing"",""nlp"",""semantic_analysis""]","true","6949231773f34aec0d37770b","2025-12-22T10:53:11.730000","2025-12-22T10:53:11.730000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"universal_document_parser.py","swarmos://code/universal_document_parser.py","","code","Python","Python module containing the UniversalDocumentParser class for parsing various document formats (PDF, DOCX, HTML) with metadata extraction.","swarm_internal","[]","","[""parsing"",""documents"",""pdf"",""docx"",""html"",""metadata""]","true","6949231673f34aec0d37770a","2025-12-22T10:53:10.304000","2025-12-22T10:53:10.304000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"main_scheduler.py","
#!/usr/bin/env python3
""""""
Main scheduler for real PayPal automation
""""""
import schedule
import time
import logging
from datetime import datetime
from paypal_integration import RealPayPalPayout
import sqlite3

class RealAutomationScheduler:
    def __init__(self):
        self.paypal = RealPayPalPayout(mode=""live"")
        self.logger = self.setup_logging()
        
    def setup_logging(self):
        logging.basicConfig(
            level=logging.INFO,
            format='%(asctime)s - %(name)s - %(levelname)s - %(message)s',
            handlers=[
                logging.FileHandler('/var/log/paypal_automation.log'),
                logging.StreamHandler()
            ]
        )
        return logging.getLogger(__name__)
    
    def process_pending_transactions(self):
        """"""Main job: Process pending transactions""""""
        self.logger.info(""🔄 Starting pending transaction processing"")
        
        conn = sqlite3.connect('automation.db')
        cursor = conn.cursor()
        
        # Get pending transactions (batch for efficiency)
        cursor.execute('''
        SELECT id, recipient_email, amount 
        FROM real_transactions 
        WHERE status = 'pending' 
        ORDER BY created_at 
        LIMIT 10
        ''')
        
        pending = cursor.fetchall()
        
        if not pending:
            self.logger.info(""✅ No pending transactions"")
            return
        
        self.logger.info(f""📊 Processing {len(pending)} pending transactions"")
        
        # Create PayPal batch
        sender_batch_id = f""BATCH_{datetime.utcnow().strftime('%Y%m%d_%H%M%S')}""
        
        items = []
        for tx_id, email, amount in pending:
            items.append({
                ""recipient_type"": ""EMAIL"",
                ""amount"": {""value"": f""{amount:.2f}"", ""currency"": ""USD""},
                ""receiver"": email,
                ""note"": f""Automated transfer #{tx_id}"",
                ""sender_item_id"": f""ITEM_{tx_id}""
            })
            
            # Mark as processing
            cursor.execute('''
            UPDATE real_transactions 
            SET status = 'processing', 
                processed_at = CURRENT_TIMESTAMP 
            WHERE id = ?
            ''', (tx_id,))
        
        conn.commit()
        
        # Execute real PayPal payout
        try:
            from paypalrestsdk import Payout
            
            payout = Payout({
                ""sender_batch_header"": {
                    ""sender_batch_id"": sender_batch_id,
                    ""email_subject"": ""Automated payment"",
                    ""email_message"": ""You have received an automated payment""
                },
                ""items"": items
            })
            
            if payout.create():
                batch_id = payout.batch_header.payout_batch_id
                self.logger.info(f""✅ PayPal batch created: {batch_id}"")
                
                # Update transactions with batch ID
                for tx_id, _, _ in pending:
                    cursor.execute('''
                    UPDATE real_transactions 
                    SET paypal_batch_id = ? 
                    WHERE id = ?
                    ''', (batch_id, tx_id))
                
                conn.commit()
                
                # Log success
                self.logger.info(f""💰 Batch total: ${sum(amount for _, _, amount in pending):,.2f}"")
            else:
                self.logger.error(f""❌ PayPal API error: {payout.error}"")
                
        except Exception as e:
            self.logger.error(f""❌ Batch creation failed: {str(e)}"")
            
        finally:
            conn.close()
    
    def check_webhook_status(self):
        """"""Check for unprocessed webhooks""""""
        self.logger.info(""🔍 Checking webhook status"")
        # Implementation for checking webhook processing
    
    def run(self):
        """"""Main run loop""""""
        self.logger.info(""🚀 Starting Real PayPal Automation System"")
        self.logger.info(""========================================="")
        
        # Schedule jobs
        schedule.every(5).minutes.do(self.process_pending_transactions)
        schedule.every(1).hour.do(self.check_webhook_status)
        
        # Run immediately on start
        self.process_pending_transactions()
        
        # Keep running
        while True:
            schedule.run_pending()
            time.sleep(60)

if __name__ == ""__main__"":
    scheduler = RealAutomationScheduler()
    
    try:
        scheduler.run()
    except KeyboardInterrupt:
        print(""\n👋 Shutting down gracefully..."")
    except Exception as e:
        print(f""❌ Fatal error: {e}"")
        raise
","","code","python","Main scheduler for real PayPal automation, processing pending transactions and checking webhooks.","swarm_internal","[""paypal_automation_agent""]","","[]","true","6942a1e4b34d2e4cd49f9ad3","2025-12-17T12:28:20.623000","2025-12-17T12:28:20.623000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
"deploy_real_system.sh","
#!/bin/bash

# Deployment script for real PayPal automation system
set -e

echo ""🚀 DEPLOYING REAL PAYPAL AUTOMATION SYSTEM""
echo ""==========================================""

# 1. Environment check
echo ""🔍 Checking environment...""
if [ -z ""$PAYPAL_CLIENT_ID"" ] || [ -z ""$PAYPAL_CLIENT_SECRET"" ]; then
    echo ""❌ ERROR: PayPal credentials not set""
    echo ""   Set PAYPAL_CLIENT_ID and PAYPAL_CLIENT_SECRET environment variables""
    exit 1
fi

# 2. Install dependencies
echo ""📦 Installing dependencies...""
pip install paypalrestsdk pandas plotly flask

# 3. Backup existing simulation data
echo ""💾 Backing up simulation data...""
if [ -f ""automation.db"" ]; then
    cp automation.db ""automation.db.backup.$(date +%Y%m%d_%H%M%S)""
    echo ""   Backup created""
fi

# 4. Run migration
echo ""🔄 Migrating to real system...""
python3 transition_to_real.py

# 5. Verify deployment
echo ""✅ Verifying deployment...""
python3 -c ""
from real_dashboard import RealPayPalDashboard
dashboard = RealPayPalDashboard()
stats = dashboard.get_real_stats()
if stats['unique_paypal_batches'] > 0:
    print('SUCCESS: Real PayPal integration active')
    print(f\""Batches: {stats[\'unique_paypal_batches\']}\"")
    print(f\""Completed: ${stats[\'completed_amount\']:,\.2f}\"")
else:
    print('WARNING: No real batches found')
    print('Check PayPal credentials and permissions')
""

# 6. Start webhook listener (optional)
echo ""🌐 Starting webhook listener...""
echo ""   To start webhook handler: python3 webhook_handler.py""
echo ""   Configure PayPal webhook to point to: https://yourdomain.com/webhook/paypal""

# 7. Create systemd service (for Linux)
cat > /etc/systemd/system/paypal-automation.service << EOF
[Unit]
Description=Real PayPal Automation System
After=network.target

[Service]
Type=simple
User=automation
Environment=PAYPAL_CLIENT_ID=$PAYPAL_CLIENT_ID
Environment=PAYPAL_CLIENT_SECRET=$PAYPAL_CLIENT_SECRET
Environment=PAYPAL_WEBHOOK_ID=$PAYPAL_WEBHOOK_ID
WorkingDirectory=/opt/paypal-automation
ExecStart=/usr/bin/python3 /opt/paypal-automation/main_scheduler.py
Restart=always

[Install]
WantedBy=multi-user.target
EOF

echo ""🎉 Deployment complete!""
echo """"
echo ""NEXT STEPS:""
echo ""1. Monitor logs: tail -f /var/log/paypal_automation.log""
echo ""2. Check real transactions on PayPal.com""
echo ""3. Verify webhooks are being received""
echo ""4. Update any external dashboards to use real data""
","","code","bash","Deployment script for the real PayPal automation system.","swarm_internal","[""paypal_automation_agent""]","","[]","true","6942a1ddb34d2e4cd49f9acf","2025-12-17T12:28:13.694000","2025-12-17T12:28:13.694000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com","false"
