goal,status,success_metrics,phases,validation_errors,execution_time,recovery_attempts,id,created_date,updated_date,created_by_id,created_by,is_sample
"Launch AWS certification awareness campaign","completed","[{""metric"":""Lead Generation"",""target"":""1200"",""current"":1384},{""metric"":""Email Signups"",""target"":""800"",""current"":956},{""metric"":""Brand Mentions"",""target"":""50"",""current"":73}]","[{""name"":""Audience Analysis"",""duration"":""1.5h"",""responsible_agent"":""DataAnalyzer-X1"",""validation_check"":""Demographics report completed"",""status"":""completed""},{""name"":""Campaign Design"",""duration"":""3h"",""responsible_agent"":""ContentCreator-Pro"",""validation_check"":""Creative assets approved"",""status"":""completed""},{""name"":""Multi-channel Launch"",""duration"":""2h"",""responsible_agent"":""SocialBot-LinkedIn"",""validation_check"":""Deployed across all channels"",""status"":""completed""}]","[]","390","","6888cccbcb3a3b73af3792a0","2025-07-29T13:29:47.153000","2025-07-29T13:29:47.153000","6888cc10e0a9deffbf21b5c4","keyhnt25@gmail.com",""
"Promote  RealWorldCerts courses with 25% enrollment increase","executing","[{""metric"":""Course Enrollments"",""target"":""500"",""current"":387},{""metric"":""Conversion Rate"",""target"":""8%"",""current"":6.2},{""metric"":""Social Engagement"",""target"":""10000"",""current"":7845}]","[{""name"":""Market Research"",""duration"":""2h"",""responsible_agent"":""DataAnalyzer-X1"",""validation_check"":""Trend report with ≥5 sources"",""status"":""completed""},{""name"":""Content Creation"",""duration"":""4h"",""responsible_agent"":""ContentCreator-Pro"",""validation_check"":""SEO score >85/100"",""status"":""in_progress""},{""name"":""Social Distribution"",""duration"":""1h"",""responsible_agent"":""SocialBot-LinkedIn"",""validation_check"":""Posted on ≥3 platforms"",""status"":""pending""}]","[]","180","","6888cccbcb3a3b73af37929f","2025-07-29T13:29:47.153000","2025-07-29T13:29:47.153000","6888cc10e0a9deffbf21b5c4","keyhnt25@gmail.com",""
"Deploy SelarBot Autonomous Promotion Network","executing","[{""metric"":""SelarBot Deployment"",""target"":""100% operational"",""current"":85},{""metric"":""Google Drive Sync"",""target"":""Real-time updates"",""current"":75},{""metric"":""Content Generation"",""target"":""24/7 autonomous"",""current"":90},{""metric"":""Error Recovery Rate"",""target"":""99.5% uptime"",""current"":97}]","[{""name"":""SelarBot Authentication Setup"",""duration"":""30 minutes"",""responsible_agent"":""SelarBot-Manager-Alpha"",""validation_check"":""Google OAuth2 and Selar.com credentials verified"",""status"":""completed""},{""name"":""MultiTalk Framework Integration"",""duration"":""2 hours"",""responsible_agent"":""VideoScript-Generator-Beta"",""validation_check"":""Conversational video scripts generating successfully"",""status"":""in_progress""},{""name"":""AI Content Tools Activation"",""duration"":""1 hour"",""responsible_agent"":""ContentBot-Orchestrator-Gamma"",""validation_check"":""Pictory and Murf AI integration operational"",""status"":""pending""},{""name"":""Autonomous Publishing Pipeline"",""duration"":""45 minutes"",""responsible_agent"":""SelarBot-Manager-Alpha"",""validation_check"":""Hourly content publishing with retry/backoff active"",""status"":""pending""}]","[]","","","68a08ba5b694bf2ccf41d22f","2025-08-16T13:46:13.188000","2025-08-16T13:46:13.188000","6888cc10e0a9deffbf21b5c4","keyhnt25@gmail.com",""
"Execute Niche Market Maverick Revenue Generation Mission with Full Agent Cooperation","executing","[{""metric"":""Niche Market Identified"",""target"":""1 high-potential market"",""current"":0.3},{""metric"":""Digital Product Created"",""target"":""1 comprehensive product"",""current"":0},{""metric"":""Revenue Generated"",""target"":""$5000"",""current"":0},{""metric"":""Ethical Compliance"",""target"":""100% validated"",""current"":100},{""metric"":""Agent Cooperation Score"",""target"":""95%+"",""current"":85}]","[{""name"":""Market Research & Niche Identification"",""duration"":""48 hours"",""responsible_agent"":""NicheMaverick-Alpha"",""validation_check"":""Underserved market with revenue potential >$5K identified"",""status"":""in_progress""},{""name"":""Ethical Framework Validation"",""duration"":""12 hours"",""responsible_agent"":""EthicsValidator-Delta"",""validation_check"":""All proposed activities pass ethical compliance check"",""status"":""completed""},{""name"":""Digital Product Development"",""duration"":""120 hours"",""responsible_agent"":""ProductCreator-Beta"",""validation_check"":""High-quality digital product ready for market"",""status"":""pending""},{""name"":""Revenue Optimization & Launch"",""duration"":""72 hours"",""responsible_agent"":""RevenueOptimizer-Gamma"",""validation_check"":""Payment systems active, marketing campaigns deployed"",""status"":""pending""},{""name"":""Performance Analysis & Evolution"",""duration"":""24 hours"",""responsible_agent"":""EvolutionEngine-Epsilon"",""validation_check"":""Success patterns identified, strategies evolved for next cycle"",""status"":""pending""}]","[]","48","","68a09137697c23aeb08b14ae","2025-08-16T14:09:59.024000","2025-08-16T14:09:59.024000","6888cc10e0a9deffbf21b5c4","keyhnt25@gmail.com",""
"Social Media Trend Analysis","draft","[]","[{""name"":""Social Media Trend Analysis"",""duration"":""35"",""responsible_agent"":""Unassigned"",""validation_check"":""None"",""status"":""pending""}]","[]","35","","68a377b9250dd85bf28f4ee9","2025-08-18T18:58:01.038000","2025-08-18T18:58:01.038000","6888cc10e0a9deffbf21b5c4","keyhnt25@gmail.com",""
"Multi-Platform Message Distribution","validated","[]","[{""name"":""Multi-Platform Message Distribution"",""duration"":""15"",""responsible_agent"":""3"",""validation_check"":""None"",""status"":""pending""}]","[]","15","","68a377b9250dd85bf28f4eea","2025-08-18T18:58:01.083000","2025-08-18T18:58:01.083000","6888cc10e0a9deffbf21b5c4","keyhnt25@gmail.com",""
"System Health Monitoring","executing","[]","[{""name"":""System Health Monitoring"",""duration"":""120"",""responsible_agent"":""5"",""validation_check"":""None"",""status"":""in_progress""}]","[]","120","","68a377b9250dd85bf28f4eeb","2025-08-18T18:58:01.087000","2025-08-18T18:58:01.087000","6888cc10e0a9deffbf21b5c4","keyhnt25@gmail.com",""
"Cross-Platform Integration Test","completed","[]","[{""name"":""Cross-Platform Integration Test"",""duration"":""90"",""responsible_agent"":""5"",""validation_check"":""None"",""status"":""completed""}]","[]","87","","68a377b9250dd85bf28f4eec","2025-08-18T18:58:01.094000","2025-08-18T18:58:01.094000","6888cc10e0a9deffbf21b5c4","keyhnt25@gmail.com",""
"Market Research Analysis","executing","[]","[{""name"":""Market Research Analysis"",""duration"":""45"",""responsible_agent"":""1"",""validation_check"":""None"",""status"":""in_progress""}]","[]","45","","68a377b9250dd85bf28f4eed","2025-08-18T18:58:01.100000","2025-08-18T18:58:01.100000","6888cc10e0a9deffbf21b5c4","keyhnt25@gmail.com",""
"Content Generation for Campaign","draft","[]","[{""name"":""Content Generation for Campaign"",""duration"":""30"",""responsible_agent"":""Unassigned"",""validation_check"":""None"",""status"":""pending""}]","[]","30","","68a377b9250dd85bf28f4eee","2025-08-18T18:58:01.106000","2025-08-18T18:58:01.106000","6888cc10e0a9deffbf21b5c4","keyhnt25@gmail.com",""
