item,category,status,qty,estUsd,currentSupplier,existingRef,action,recommendedSupplier,contact,note
"54 Pièces Autocollants Joueurs de Football","Accessoires","purchased","1","6","Wholesale supplier","","ENTER REAL SUPPLIER + orderRef","Déco Shop / Jumia","0651296438 (Fès)","household/deco + stickers"
"Fresh Fish Pack 5kg minimum","Alimentaire","sourced","1","45","Local","","PLACE ORDER","Marche local Bouznika","","local fresh produce"
"Pack de Légumes Frais Maroc","Alimentaire","purchased","1","30","Local","","ENTER REAL SUPPLIER + orderRef","Marche local Bouznika","","local fresh produce"
"Café Pur Arabica 1kg Bali","Café","sourced","3","105","Bali","","PLACE ORDER","Mirka.ma / Beta Miel","","skill approved coffee/honey"
"Kricely Trail Shoes EU49/US13","Chaussures","purchased","2","90","Kricely","","ENTER REAL SUPPLIER + orderRef","simo_shoop_","0784499160 (Casa derb sultan)","clothing/trousers/shoes bulk"
"3x Rouleau Papier Peint Marbré PVC 500x40","Décoration","purchased","3","54","Wholesale supplier","","ENTER REAL SUPPLIER + orderRef","Déco Shop","0651296438 (Fès)","crystal decoration + household"
"Mini PC","Electronics","sourced","1","199","Wholesale supplier","","PLACE ORDER","Alfa Gros","0630000011 (tm alfagros)","electronics wholesale, direct importer, Casablanca kaysariya"
"Dell Precision 3541 Laptop","Electronics","sourced","2","1798","Dell","","PLACE ORDER","KRTechPro","0604118058","refurb PCs/workstations best for Dell Precision"
"Dell Precision 3541 4TB Mounted Storage","Electronics","sourced","1","299","Dell","","PLACE ORDER","KRTechPro","0604118058","refurb PCs/workstations best for Dell Precision"
"Monitor for Mini PC","Electronics","purchased","1","149","Wholesale supplier","","ENTER REAL SUPPLIER + orderRef","Alfa Gros","0630000011 (tm alfagros)","electronics wholesale, direct importer, Casablanca kaysariya"
"Samsung Smart TV UHD 65""","Electronics","ordered","1","450","Samsung","","CHASE SHIPMENT (enter orderRef+tracking)","Planet Electro / Alfa Gros","0684390026 / 0630000011","electronics wholesale, direct importer"
"Mini-Bar ELEXIA RM004 (L48xH52xP41)","Hôtellerie","sourced","1","120","ELEXIA","","PLACE ORDER","ELEXIA (mini-bar)","","Mini-Bar ELEXIA RM004 direct"
"4 Pièces Boîte Rangement Créative Murale","Maison","sourced","4","88","Wholesale supplier","","PLACE ORDER","Déco Shop","0651296438 (Fès)","crystal decoration + household"
"Cendrier Créatif Noir","Maison","purchased","1","12","Wholesale supplier","","ENTER REAL SUPPLIER + orderRef","Déco Shop","0651296438 (Fès)","crystal decoration + household"
"Protecteurs d'éclaboussures évier cuisine (8 pcs)","Maison","ordered","8","64","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Tout à Tous / Jumia","","home decor + kitchen essentials"
