title,status,revenue_generated,assigned_agent_ids,completion_notes,amount_due
LinkedIn Professional Outreach,completed,425.0,"[""agent-4""]",B2B leads converted to course purchases. Awaiting Receipt.,425.0
Affiliate Marketing Campaign Q4,completed,875.5,"[""agent-3""]",Generated affiliate commissions from 15 conversions. Awaiting Receipt.,875.5
RealWorldCerts December Sales Push,completed,1250.0,"[""agent-1"",""agent-2""]",Successfully drove 25 course enrollments at $50 average,1250.0
November LinkedIn B2B Outreach,completed,1620.0,"[""agent-2""]",Corporate clients acquired - 12 enterprise licenses sold,1620.0
Black Friday Campaign 2024,completed,3875.5,"[""agent-2"",""agent-3""]",Record-breaking Black Friday - 78 conversions with special bundles,3875.5
September YouTube Content Series,completed,1755.0,"[""agent-3"",""agent-4""]",Video tutorials drove 35 course sign-ups with high engagement,1755.0
Q3 End Affiliate Blast,completed,1340.5,"[""agent-4""]",Multi-platform affiliate push - 27 conversions across channels,1340.5
December RealWorldCerts Sales Blitz,completed,2450.0,"[""agent-1"",""agent-2""]",50 course enrollments @ $49 average - holiday campaign success,2450.0
October Certification Month Push,completed,2890.0,"[""agent-1"",""agent-3""]",Certification prep courses - 58 students enrolled,2890.0
2025 New Year Kickoff Campaign,completed,1950.0,"[""agent-1"",""agent-2"",""agent-3""]",Strong start to 2025 - 39 new enrollments in first 4 days targeting career advancement goals,1950.0
