Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A competent person inspects a 12-foot deep trench with Type C soil that is protected by a trench shield. The shield extends 1 foot above the trench top. The competent person notes water seeping from the trench wall base. What is the immediate, priority action required?",multiple-choice,"Order workers to continue, but monitor the water level.",Incorrect: Any sign of water accumulation or soil instability requires immediate removal of workers per 1926.651(h)(1).,Immediately remove all workers from the trench.,Correct: The presence of water is a sign of possible collapse. 1926.651(h)(1) requires workers to be removed until precautions are taken.,"Add a second, larger trench shield.","Incorrect: While potentially part of a solution, the immediate priority is worker safety, not modifying the protective system with workers inside.",Start a dewatering pump while work continues.,"Incorrect: Dewatering is necessary, but work cannot resume until the competent person re-inspects and deems it safe per 1926.651(k)(2).",,,,,2,"Under 29 CFR 1926.651(h)(1), where water is present in an excavation, workers must be removed until the hazard is controlled. The competent person's first duty is to protect employees from cave-in hazards.",Excavation & Trenching
Which TWO of the following scenarios require a 'qualified person' instead of a 'competent person' according to OSHA construction standards?,multi-select,Designing a personal fall arrest system (PFAS) anchorage point.,Correct: 1926.502(d)(15) requires anchorage points be designed and installed under the supervision of a qualified person.,Inspecting a scaffold before each work shift.,"Incorrect: This is a primary duty of a competent person, as defined in 1926.451(f)(3).",Classifying the soil type in an excavation.,Incorrect: Soil classification is a key responsibility of a competent person per 1926.652(a)(1).,Designing the shoring system for a 22-foot deep trench in Type C soil.,"Correct: The design of protective systems for trenches deeper than 20 feet must be done by a registered professional engineer, a type of qualified person, per 1926.652(c)(4).",,,,,"1,4","A 'competent person' can identify hazards and has authority to correct them. A 'qualified person' has a recognized degree, certificate, or professional standing with the knowledge to solve problems related to the subject matter, such as designing complex safety systems like PFAS anchorages (1926.502) or deep trench protective systems (1926.652).",Fall Protection
"A crane is operating near a 150kV power line. According to 29 CFR 1926.1408 Table A, what is the absolute minimum safe clearance distance that must be maintained between any part of the crane/load and the power line?",multiple-choice,10 feet,"Incorrect: 10 feet is the minimum clearance for lines up to 50kV, not 150kV.",15 feet,"Incorrect: This distance is for lines between 50kV and 200kV under specific, older standards, but Table A is more precise.",20 feet,Correct: 29 CFR 1926.1408 Table A mandates a 20-foot minimum clearance for voltages from over 50kV to 200kV.,25 feet,Incorrect: 25 feet is the required clearance for voltages over 200kV up to 350kV.,,,,,3,"OSHA's standard for cranes and derricks, 29 CFR 1926.1408 Table A, provides specific minimum clearance distances based on the voltage of the overhead power line. For voltages over 50kV up to 200kV, the required clearance is 20 feet to prevent arcing and electrocution.",Electrocution
A worker is dry-cutting concrete with a masonry saw for 6 hours. No engineering controls are used. This task is not listed on OSHA's Silica Table 1. What must the employer do FIRST to assess the hazard?,multiple-choice,Provide all workers with N95 respirators immediately.,"Incorrect: PPE is the last resort. The first step is to assess the exposure level, not just provide PPE, per 1926.1153(d)(1).",Conduct an initial exposure assessment to determine silica levels.,"Correct: For tasks not on Table 1, 1926.1153(d)(1) requires an employer to assess the 8-hour TWA exposure for each affected employee.",Implement a written exposure control plan.,"Incorrect: A written plan is required, but it must be based on the results of an exposure assessment first.",Rely on the manufacturer's safety data sheet (SDS) alone.,"Incorrect: The SDS identifies the hazard, but it does not quantify the specific exposure level for this task, which is required by OSHA.",,,,,2,"When a task involving silica is not covered by Table 1, the employer cannot assume compliance. Per 29 CFR 1926.1153(d), the employer must perform an exposure assessment to quantify the airborne concentration of silica. This data then dictates the necessary engineering controls and respiratory protection.",Health Hazards
A roofer is working on a low-slope roof (4:12 pitch) with a 75-foot-wide unprotected edge. The employer has set up a warning line system. At what minimum distance from the roof edge must the warning line be placed?,multiple-choice,6 feet,"Correct: For roofing work on low-slope roofs, 1926.502(f)(1)(i) requires the warning line to be erected not less than 6 feet from the roof edge.",10 feet,Incorrect: 10 feet is the required distance when mechanical equipment is being used between the warning line and the edge.,15 feet,"Incorrect: 15 feet is the distance from the edge where a safety monitoring system can be used alone, but a warning line has a different requirement.",2 feet,Incorrect: This distance is dangerously close and does not comply with the 6-foot minimum rule in 1926.502(f)(1)(i).,,,,,1,"OSHA standard 29 CFR 1926.502(f)(1)(i) specifies that when used for roofing work, warning lines shall be erected around all sides of the roof work area and be no closer than 6 feet from the edge. This creates a buffer zone to warn workers they are approaching a fall hazard.",Fall Protection
"During a trenching operation in Type B soil, a vertical-sided excavation is 8 feet deep. Which TWO of the following are OSHA-compliant protective systems?",multi-select,Sloping the walls at a 1:1 angle (45 degrees).,"Correct: According to 1926 Subpart P Appendix B, the maximum allowable slope for an excavation in Type B soil is 1H:1V (45 degrees).",Using a trench box (shield) that extends from the floor to the top of the trench.,"Correct: A shield system is a valid protective method, provided it is used according to manufacturer specifications and protects the full depth of the trench per 1926.652(g).",Benching the sides with a single 4-foot vertical rise.,Incorrect: Benching is not permitted in Type B soil for this configuration; simple sloping or shielding is required. 1926 Subpart P Appendix B prohibits steep benching in Type B.,Having a competent person continuously watch the trench walls for signs of failure.,"Incorrect: Observation by a competent person is required but is not a substitute for an actual protective system (sloping, shoring, or shielding) per 1926.652(a)(1).",,,,,"1,2","OSHA 29 CFR 1926.652(a) requires protection against cave-ins. For an 8-foot trench in Type B soil, compliant options include sloping at a 1:1 ratio or using an engineered shield system. Benching is more restricted in Type B soil, and visual monitoring is a supplementary duty, not a primary protective system.",Excavation & Trenching
"A worker is using a powder-actuated tool to fasten a track to a concrete wall. The worker has not been trained on this specific tool but has used other models. The tool misfires, sending a fastener ricocheting. This incident is a direct violation of which specific requirement?",multiple-choice,The requirement to wear eye protection.,"Incorrect: While eye protection is required (1926.302(e)(1)), the root cause of the incident is the lack of training.",The requirement for tool-specific training by a qualified instructor.,Correct: 29 CFR 1926.302(e)(1) explicitly states that only trained and authorized operators shall use powder-actuated tools. This training is tool-specific.,The requirement to test the tool daily.,"Incorrect: Daily testing is required (1926.302(e)(2)), but the operator's lack of qualification is the primary violation leading to misuse.",The requirement to inspect the power load.,"Incorrect: While important, the core violation is that an untrained person was operating the tool in the first place.",,,,,2,"The primary violation is 29 CFR 1926.302(e)(1), which mandates that operators of powder-actuated tools must be trained and authorized for the specific tool they are using. This training covers operation, maintenance, and hazard recognition, which could have prevented the misfire or ricochet.",Struck-By Hazards
An employer provides an 'Assured Equipment Grounding Conductor Program' (AEGCP) on a construction site. Which TWO elements are mandatory for this program to be OSHA compliant?,multi-select,A written description of the program must be available on-site.,Correct: 1926.404(b)(1)(iii)(A) requires a written program to be kept at the jobsite.,All cord sets and equipment must be visually inspected daily for damage.,Correct: 1926.404(b)(1)(iii)(C) requires a daily visual inspection of equipment connected by cord and plug before use.,All receptacles must be GFCI-protected.,"Incorrect: An AEGCP is an alternative to using GFCIs for all receptacles. You can use one or the other, not necessarily both.",Only qualified electricians are allowed to plug in tools.,"Incorrect: While competent persons must implement the program, any trained worker can plug in tools that have passed inspection.",,,,,"1,2","An Assured Equipment Grounding Conductor Program (AEGCP) under 29 CFR 1926.404(b)(1)(iii) is an alternative to GFCIs. Its core requirements include having a written plan on-site, designating competent persons to implement it, and conducting both daily visual inspections and periodic documented equipment tests.",Electrocution
"A painter is working on a 24-foot extension ladder, which is placed on uneven, soft ground. The top of the ladder rests against a window frame. The base suddenly kicks out, causing a fall. What was the primary cause of the ladder failure, based on OSHA standards?",multiple-choice,The ladder was not set at the proper 4:1 angle.,"Incorrect: While the angle is critical, placing a ladder on an unstable surface is a more fundamental failure.",The ladder was not tied off at the top.,"Incorrect: Securing the ladder is important, but the unstable base is the root cause of the kick-out.",The ladder was placed on an unstable and unlevel surface.,"Correct: 29 CFR 1926.1053(b)(6) and (7) require ladders to be placed on a stable and level surface unless secured to prevent displacement. Soft, uneven ground is a direct violation.",The ladder did not extend 3 feet above the upper landing surface.,"Incorrect: The 3-foot extension rule (1926.1053(b)(1)) is for access, but the stability of the base is what prevents kick-out.",,,,,3,"The most critical OSHA requirement for preventing ladder kick-out is ensuring a stable foundation. 29 CFR 1926.1053(b)(6) states ladders shall be used only on stable and level surfaces. Placing the ladder on soft, uneven ground created an unstable condition that led directly to the base slipping.",Ladder & Scaffold Safety
A construction crew must enter a 15-foot deep manhole to perform repairs. The atmosphere has not been tested. The entry is considered a permit-required confined space. Which action represents the most critical failure in the hierarchy of controls?,multiple-choice,Failing to have a rescue team on standby.,Incorrect: Rescue is a tertiary control. The primary failure is not addressing the hazard at its source.,Failing to provide the entrant with a respirator.,"Incorrect: This is a failure to provide PPE, which is lower on the hierarchy than engineering and administrative controls.",Failing to first test and ventilate the atmosphere.,Correct: This represents a failure of engineering controls (ventilation) and hazard identification (testing). The highest priority is to eliminate or reduce the atmospheric hazard before entry.,Failing to complete the entry permit correctly.,"Incorrect: The permit is an administrative control. While a critical failure, failing to physically test and control the atmosphere is a more immediate life-threatening error.",,,,,3,"The hierarchy of controls prioritizes eliminating or reducing hazards over procedural or PPE-based solutions. For a permit-required confined space (1926 Subpart AA), the first and most critical step is to test the atmosphere (1926.1203(e)) and then apply engineering controls like ventilation to make it safe. Entering an untested space is a catastrophic failure at the top of the hierarchy.",Health Hazards
Workers are erecting a supported scaffold that will reach a height of 45 feet. At what height must the scaffold erection be supervised by a qualified person?,multiple-choice,"At 10 feet, when fall protection is first required.",Incorrect: Fall protection requirements are separate from the qualified person supervision rule for scaffold erection.,"At 25 feet, due to increased complexity.",Incorrect: This is an arbitrary height and not specified by OSHA for this purpose.,Any scaffold exceeding 125 feet in height.,"Incorrect: While scaffolds over 125 feet must be designed by a registered professional engineer, a qualified person must supervise all scaffold erection. This option misinterprets a related rule.",From the moment erection begins.,"Correct: 29 CFR 1926.451(f)(7) requires that scaffolds be erected, moved, dismantled, or altered only under the supervision and direction of a competent person qualified in scaffold erection.",,,,,4,"OSHA 29 CFR 1926.451(f)(7) is clear that the erection of all supported scaffolds, regardless of height, must be supervised by a competent person who is also a qualified person in this specific context (i.e., has the requisite knowledge and training for scaffolding).",Ladder & Scaffold Safety
An ironworker is connecting a beam at a height of 25 feet on a multi-story steel erection project. The building has a fully decked floor 15 feet below the work area. The worker is not using any personal fall protection. Is this compliant with OSHA Subpart R?,multiple-choice,"No, fall protection is always required above 15 feet in steel erection.",Incorrect: Subpart R has specific exceptions for connectors.,"Yes, because a fully decked floor is within 30 feet below.","Correct: For connectors, 1926.760(b)(1) allows them to work without PFAS if there is a floor or net within two stories or 30 feet, whichever is less, directly below them.","No, a control decking zone (CDZ) is required.","Incorrect: A CDZ is a specific option for leading-edge work, not for connecting beams in this scenario.","Yes, but only for a maximum of 15 minutes of exposure.","Incorrect: OSHA rules for steel erection connectors are based on distance to the lower level, not time duration.",,,,,2,"OSHA's steel erection standard, 29 CFR 1926.760(b)(1), provides a specific exception for workers engaged in connecting activities. They are required to be protected from falls of more than two stories or 30 feet. Since the decked floor is only 15 feet below, this scenario is compliant for a connector.",Fall Protection
A forklift (powered industrial truck) is being used to elevate a worker on a pallet to access a work area 12 feet high. This practice is a violation because:,multiple-choice,The forklift was not inspected before use.,"Incorrect: While a pre-use inspection is required, it is not the primary violation related to lifting personnel.","The pallet is not an approved, commercially manufactured work platform.",Correct: 29 CFR 1926.602(c)(1)(viii)(A) strictly prohibits lifting personnel with a forklift unless they are in a platform specifically designed for that purpose with standard guardrails. A simple pallet is not compliant.,The worker was not wearing a hard hat.,"Incorrect: A hard hat is likely required, but it does not address the severe fall hazard created by the improper lifting method.",The forklift operator was not certified.,"Incorrect: Operator certification is required, but the method of lifting is the core violation here, as even a certified operator cannot perform this prohibited lift.",,,,,2,Using a forklift to elevate personnel is a high-risk activity heavily regulated by OSHA. 29 CFR 1926.602(c)(1)(viii) and 1910.178(m)(12) mandate that personnel can only be lifted using a securely attached platform with guardrails designed for that purpose. A standard wooden or plastic pallet is never permissible.,Struck-By Hazards
"A worker using a jackhammer to break up a concrete floor is exposed to a noise level of 97 dBA for a 4-hour duration. According to OSHA's permissible exposure limits (PEL) and action levels, which TWO actions are required by the employer?",multi-select,Implement feasible engineering or administrative controls to reduce the noise.,"Correct: Per 1926.52(b), when exposures exceed the PEL, feasible administrative or engineering controls must be utilized. 97 dBA for 4 hours exceeds the PEL.",Provide and ensure the use of hearing protection.,"Correct: Since the exposure exceeds the PEL calculated on a time-weighted average (TWA), hearing protection is mandatory under 1926.52(b).",Enroll the worker in a hearing conservation program.,"Incorrect: A hearing conservation program is required at the 85 dBA action level, but the immediate requirements at the PEL are controls and mandatory PPE. (Though they would already be in the program).",Restrict the worker's exposure to 2 hours per day.,"Incorrect: This is a possible administrative control, but it's not the only option, and the question asks for required actions, which include attempting controls and mandating PPE.",,,,,"1,2","OSHA's noise standard (29 CFR 1926.52) has a PEL of 90 dBA over an 8-hour TWA. An exposure of 97 dBA is significantly higher. The dose calculation confirms this exceeds the PEL, triggering the requirement to first try to implement engineering/administrative controls and, in all cases, mandate the use of hearing protection.",Health Hazards
A worker is applying a chemical with a Safety Data Sheet (SDS) that lists 'Requires use of nitrile gloves and safety glasses' in Section 8. The worker is only wearing leather gloves and no eye protection. This is a direct violation of which OSHA standard?,multiple-choice,29 CFR 1926.59 - Hazard Communication.,"Correct: The HazCom standard requires employers to train employees on hazards and protective measures, which includes following the PPE recommendations specified on the SDS.",29 CFR 1926.95 - General PPE Requirements.,"Incorrect: While this standard covers PPE generally, the HazCom standard is more specific to chemical hazards and the requirement to follow SDS instructions.",29 CFR 1926.102 - Eye and Face Protection.,"Incorrect: This standard mandates eye protection, but the HazCom standard links this requirement directly to the specific chemical's SDS.","29 CFR 1926.55 - Gases, Vapors, Fumes, Dusts, and Mists.",Incorrect: This standard sets exposure limits but doesn't govern the specific PPE selection process detailed in the HazCom standard.,,,,,1,"The Hazard Communication Standard (29 CFR 1926.59) requires that employers ensure workers are aware of chemical hazards and how to protect themselves. A key part of this is training on and adhering to the information provided in the SDS, including the specified PPE in Section 8 (Exposure Controls/Personal Protection). Ignoring these recommendations is a direct violation.",Personal Protective Equipment (PPE)
"In an excavation greater than 4 feet deep where a hazardous atmosphere could reasonably be expected to exist, what is the mandatory first step before any employee entry?",multiple-choice,Ensure a rescue team is on standby.,Incorrect: Rescue is a reactive measure; proactive atmospheric testing must be done first.,The competent person must visually inspect the trench.,Incorrect: A visual inspection cannot detect a hazardous atmosphere like oxygen deficiency or toxic gas.,"The atmosphere must be tested for oxygen, flammable gas, and potential toxic air contaminants.","Correct: 29 CFR 1926.651(g)(1)(i) requires that where a hazardous atmosphere is possible, the excavation's atmosphere must be tested before employees enter.",Ventilate the excavation with a large fan for at least 30 minutes.,"Incorrect: Ventilation may be necessary, but it must be preceded by testing to determine if it's needed and to verify its effectiveness afterward.",,,,,3,"OSHA 29 CFR 1926.651(g)(1) is unequivocal: if there is a possibility of a hazardous atmosphere in an excavation deeper than 4 feet, the space must be tested. Testing must check for adequate oxygen content, flammable gas concentrations, and any other potential toxic contaminants before an employee can enter.",Excavation & Trenching
A company's written Fall Protection Plan allows for the use of a safety monitoring system on a low-slope roof 45 feet wide. Under what specific condition is this NOT a compliant method of fall protection when used alone?,multiple-choice,When the work is taking place more than 15 feet from the edge.,Incorrect: A safety monitor can be used when work is over 15 feet from the edge.,When the roof width is 50 feet or less.,"Incorrect: This is a condition where a safety monitoring system can be used, as outlined in 1926.502(h)(1).",When the work involves the use of mechanical equipment.,Correct: 1926.502(f)(1)(ii) prohibits the use of a safety monitoring system as the sole fall protection method when mechanical equipment is being used or stored on the roof. A warning line system is required in this case.,When the competent person is also performing other duties.,"Incorrect: While the monitor must only watch, the critical violation here is the presence of mechanical equipment.",,,,,3,"While a safety monitoring system can be part of a fall protection plan for low-slope roofing on surfaces 50 feet or less in width (1926.501(b)(10)), it cannot be the only system if mechanical equipment is in use. In that scenario, 1926.502(f) requires a warning line system to be used in conjunction with other measures.",Fall Protection
"An electrician is working on a de-energized circuit. The breaker has been shut off, but no lock or tag has been applied. The electrician's partner, unaware of the work, re-energizes the circuit. This incident is a direct result of failing to follow which OSHA procedure?",multiple-choice,The Assured Equipment Grounding Conductor Program (AEGCP).,"Incorrect: AEGCP deals with equipment grounding, not the process of de-energizing circuits for service work.",Hazard Communication (HazCom).,"Incorrect: HazCom pertains to chemical hazards, not electrical energy control.",Lockout/Tagout (LOTO) under 29 CFR 1926.417.,Correct: This standard requires that circuits be de-energized and that the controls be locked out and/or tagged to prevent accidental re-energization while an employee is working on them.,The buddy system.,"Incorrect: While working with a partner is good practice, it is not a formal OSHA procedure that replaces LOTO.",,,,,3,"This scenario is a classic example of why Lockout/Tagout (LOTO) is critical. 29 CFR 1926.417 and Subpart K mandate that before any work is done on electrical circuits, they must be de-energized, and the disconnecting means must be locked and tagged to physically prevent someone from turning the power back on.",Electrocution
